1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,558,583,536,490,504,463,423,364,296,256,228,254,300,295,309,336,327,374,486,539,624,757,903,"1,065","1,330","1,428","1,521","1,532","1,510","1,757","1,708","1,766","2,222","2,330","2,392","2,590","2,954","3,448","3,670","3,817","3,553","3,670","3,840","4,167","4,174","4,422","4,373","4,367","4,304","4,119","3,939","3,910","3,819","3,618"
347,382,396,418,381,403,330,274,246,249,300,305,325,283,430,409,241,175,148,201,194,257,326,381,479,514,469,450,464,511,520,526,538,587,509,549,552,516,512,476,481,477,391,328,348,411,362,377,426,525,580,682,752,802,830,817,957,"1,044","1,187","1,253","1,344","1,448","1,435","1,581","1,850","1,961","2,143","2,256","2,606","2,811","3,328","3,832","3,911","4,083","4,842","5,535","5,984","5,746","5,737","6,375","6,818","7,124","7,319","7,290","7,400","7,431","7,739","7,985","8,242"
"5,287","6,038","6,378","7,049","7,949","9,088","9,890","10,440","10,581","10,748","10,579","9,848","11,137","11,790","11,707","11,374","10,234","10,019","8,631","7,766","7,263","7,478","7,820","7,784","7,922","7,886","7,420","7,411","7,632","7,948","8,130","8,053","8,451","8,606","8,660","9,064","9,611","8,928","8,855","8,754","8,306","7,491","7,041","6,886","7,131","6,381","5,854","5,630","5,600","6,667","7,861","9,739","10,871","10,765","11,361","10,724","14,003","13,949","15,522","17,114","18,634","19,456","19,850","21,081","24,712","27,516","29,115","31,640","34,495","36,531","37,658","38,852","40,788","43,051","44,660","45,281","44,348","42,693","43,418","44,054","44,919","45,106","45,215","45,474","45,161","48,418","48,427","49,348","48,653"
"3,402","3,535","3,710","3,881","3,986","4,323","4,727","4,764",4323,"4,183","4,474","4,360","4,669","4,606","4,463","4,361","4,218","3,909","3,293","3,034","3,112","3,439","3,942","4,296","4,707","4,738","4,603",4610,"4,504","4,459","4,462","4,632","5,050","5,296","5,268","5,429","5,372","5,085","4,836","4,797","4,486","3,907","3,884","4,057","4,243","4,137","4,358","3,847","3,357","3,051","3,897","4,203","4,250","4,396","5,270","6,281","7,559","8,295","8,973","9,063","9,767","9,963","10,634","11,271","12,220","12,615","13,576","13,791","14,364","14,916","16,046","16,791","17,730","19,016","19,260","19,811","20,883","21,542","23,007","23,939","24,416","26,055","27,114","28,301","28,788","28,012","28,890","28,822","29,905"
"2,018","2,044","2,157","2,345","2,468","2,759","2,971","3,058","3,006","2,829","2,835","2,733","2,664","2,593","2,648","2,574","2,447","2,104","1,795","1,677","1,673","1,695","1,824","1,990","2,104","2,084","2,081","2,040","2,034","2,162","2,203","2,177","2,148","2,167","2,212","2,204","2,418","2,406","2,291","2,256","2,178","1,885","1,830","1,747","1,732","1,747","1,540","1,306","1,402","1,476","1,786","1,891","2,030","1,961","2,261","2,479","2,670","2,829","2,814","2,836","2,687","2,777","2,851","3,034","3,584","3,967","4,145","4,518","4,898","5,437","5,906","6,342","6,938","7,394","7,232","7,955","7,962","8,398","8,546","8,525","8,737","8,838","8,732","8,766","8,813","9,388","9,057","8,686","8,654"
"2,369","2,675","2,708","2,861","2,776","2,756","2,537","2,526","2,563","2,648","2,765","2,796","2,534","2,515","2,494","2,431","2,237","1,895","1,539","1,383","1,302","1,267","1,345","1,458","1,765","1,959","1,895","1,977","2,090","2,113","1,974","1,932","1,945","2,001","2,248","2,313","2,627","2,875","2,893","2,825","2,791","2,444","2,289","2,185","1,980","1,902","2,017","1,642","1,354","1,421","1,685","2,078","2,246","2,339","2,290","2,494","2,770","3,078","3,705","4,244","4,732","5,345","5,781","5,817","5,616","5,775","5,903","6,028","5,727","6,371","7,054","7,756","7,911","8,183","8,567","8,344","8,577","8,935","9,132","8,966","9,068","8,816","8,696","8,539","8,641","9,051","9,327","9,398","9,506"
"2,170","2,248","2,188","2,805","3,143","3,448","3,504","3,439","3,322","3,928","3,306","4,261","4,261","4,664","4,695","4,531","4,410","3,725","3,155","2,491","2,248","2,234","2,363","2,906","3,198","3,259","2,995","3,089","3,176","3,399","3,349","3,170","3,125","3,531","3,430","3,603","3,703","3,381","3,025","3,030","2,813","2,932","2,834","2,864","3,314","2,849","3,060","2,941","2,954","3,051","3,246","3,657","3,661","3,390","3,691","3,588","3,993","4,031","4,773","4,820","4,981","5,288","6,437","7,119","8,289","9,023","9,799","10,364","10,440","11,066","12,060","12,910","14,600","14,987","15,317","14,919","15,104","15,572","16,190","17,140","19,215","19,514","21,823","21,059","20,672","19,937","20,952","21,466","20,330"
"1,575","1,686","1,746","1,963","2,130","2,440","2,775","2,580","2,920","2,939","3,001","3,044","3,274","3,268","3,176","2,946","2,892","2,808","2,584","2,230","2,075","2,220",2304,"2,288","2,514","2,674","2,583","2,456","2,532","2,842","3,026","3,220","3,363","3,636","3,561","3,749","3,828","4,058","3,961","3,564","3,844","4,068","4,112","4,237","4,170","4,196","4,159","3,421","4,033","4,779","4,758","4,696","5,951","7,291","7,618","8,889","9,415","10,930","12,812","13,659","13,890","14,300","15,375","16,242","17,257","18,599","20,003","20,896","22,468","24,063","25,195","26,779","29,265","32,228","34,066","35,207","35,810","36,032","36,047","36,939","36,083","36,376","37,341","37,804","39,780","39,444","39,709","40,170","39,298"
451,399,382,382,433,403,514,559,523,524,524,504,574,626,666,608,605,524,441,484,576,570,627,632,650,736,698,635,641,611,620,646,621,647,696,750,766,728,723,719,695,605,592,598,561,516,454,473,453,527,643,610,655,577,641,671,806,892,861,847,"1,227","1,242","1,238","1,214","1,432","1,480","1,558","1,492","1,446","1,401","1,326","1,351","1,542","1,641","1,663","1,635","1,641","1,817","1,951","1,961","1,905","1,997","1,950","1,985","1,980","1,942","1,952","1,932","1,972"
"1,886","1,921","2,095","2,296","2,281","2,602","2,549","2,503","2,588","2,581","2,899","2,947","2,752","3,081","2,949","2,933","3,127","2,908","2,577","2,832","2,885","3,481","3,597","3,771","4,148","3,892","3,952","4,400","4,500","4,930","4,685","5,117","5,099","5,037","5,010","5,316","5,745","5,615","5,164","5,453","5,467","5,117","5,083","5,096","5,356","5,186","4,950","5,578","5,799","6,247","6,965","7,912","7,137","7,966","7,860","7,731","8,912","11,032","11,979","12,442","12,303","12,559","12,912","13,572","15,378","16,734","17,824","18,808","19,121","19,854","20,450","20,980","21,088","21,540","22,184","22,490","22,842","23,274","23,230","22,696","22,143","22,316","22,780","22,749","21,868","22,275","22,252","21,281","20,988"
