1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
478,572,629,697,817,888,861,868,795,808,909,"1,060","1,035","1,080","1,041","1,038",976,816,794,864,982,"1,106","1,200","1,308","1,400","1,534","1,542","1,508","1,591","1,516","1,552","1,557","1,400","1,524","1,552","1,710","1,799","1,915","2,061","2,056","2,000","1,380","1,803","1,815","1,712","1,800","2,016","1,856","1,670","1,993","2,480","2,821","2,924","2,873","3,168","3,172","3,292","3,900","3,952","4,224","4,376","4,770","5,457","5,991","6,156","6,492","5,575","5,236","5,111","5,935","6,515","7,316","7,589","8,986","9,840","10,553","11,368","12,080","12,695","13,167","13,390","13,667","13,918","14,131","14,365","14,831","14,459","14,801","15,180"
"3,960","4,170","4,505","5,027","5,314","5,836","6,307","6,396","6,183","6,328","6,511","6,034","6,558","6,740","6,939","6,690","6,799","6,851","6,682","6,621","6,551","6,586","6,938","7,375","7,616","7,432","6,856","6,812","6,636","7,205","7,342","7,462","7,614","7,945","7,924","7,802","8,047","8,160","7,804","7,667","71,113","6,519","5,674","5,519","5,780","6,289","5,315","6,245","6,515","6,732","5,982","6,656","6,873","7,722","7,685","8,112","9,291","10,448","11,699","12,998","14,119","15,165","16,246","17,883","20,458","22,281","23,386","24,966","26,045","28,294","32,410","34,535","34,957","36,373","36,525","36,844","38,057","40,164","40,880","40,931","42,345","43,998","45,446","49,047","51,316","51,075","51,390","50,918","50,083"
315,388,362,409,366,410,463,535,460,456,589,581,564,500,411,308,348,360,371,331,346,365,403,361,350,284,248,255,257,289,305,298,253,272,274,255,262,249,266,278,310,329,350,360,365,370,378,340,404,435,408,490,524,524,559,601,689,781,878,891,963,"1,007",991,"1,179","1,469","1,586","1,749","1,710","1,719","1,856","1,833","2,031","2,100","2,175","1,908","1,966","1,926","2,045","1,983","1,894","2,025","2,149","2,481","2,522","2,220","2,086","2,065","1,999","2,039"
528,504,437,633,686,799,1000,"1,194","1,167","1,181","1,244","1,310","1,250","1,219","1,299","1,276","1,217","1,175","1,082",966,936,"1,048","1,256","1,387","1,413","1,513","1,583","1,662","1,776","1,853","1,852","1,868","1,963","2,200","2,131","2,080","2,144","2,281","2,347","2,306","2,323","2,248","2,337","2,331","2,506","2,726","3,066","3,197","3,489","4,318","5,600","6,433","6,041","7,130","7,115","7,427","8,010","8,629","9,076","9,315","9,908","11,022","11,862","12,902","14,808","16,208","17,208","17,612","17,896","18,168","19,015","19,758","20,264","20,910","21,228","21,017","21,606","22,837","22,942","22,730","22,464","22,861","23,314","23,456","23,486","22,822","22,233","21,725","21,443"
445,469,420,416,462,466,529,580,546,545,571,557,528,512,439,400,371,324,239,210,232,300,363,422,418,451,411,442,443,448,423,451,464,467,561,526,571,544,556,525,571,555,489,446,380,391,388,179,236,250,338,478,519,505,539,609,662,755,808,904,"1,037","1,050","1,133","1,020","1,256","1,341","1,374","1,487","1,553","1,708","1,871","2,063","2,242","2,417","2,498","2,613","2,781","2,911","3,016","3,088","3,454","3,350","3,306","3,333","3,430","3,431","3,530","3,644","3,641"
"1,916","2,023","2,182","2,450","2,676","2,887","2,926","2,734","2,672","2,812","3,093","3,071","3,024","3,061","3,309","3,233","2,913","2,820","2,523","2,364","2,232","2,380","2,637","2,665","2,715","2,780","2,683","2,601","2,474","2,706","2,723","2,713","2,657","2,712","2,914","3,134","3,144","3,167","3,246","3,187","3,213","2,968","2,980","2,999","3,148","3,268","3,454","3,329","3,454","3,771","4,561","4,817","5,480","5,835","6,629","7,022","7,897","7,869","8,201","7,307","7,127","7,591","7,639","7,732","10,630","10,388","11,474","11,849","12,824","14,401","15,206","15,626","16,659","21,438","22,502","22,166","23,671","24,989","25,403","25,884","26,369","25,745","26,267","27,228","26,965","27,451","28,479","28,411","28,521"
"3,396","3,201","3,864","4,561","5,056","5,068","5,385","5,190","5,347","5,214","5,904","5,948","6,400","6,989","6,831","6,070","5,814","4,835","3,644","3,394","3,291","4,246","5,675","5,792","5,958","6,424","6,604","6,960","7,781","8,509","8,622","9,268","10,091","10,531","11,123","11,308","11,890","12,203","12,084","12,278","12,854","12,392","12,313","12,215","14,014","14,331","15,989","15,709","17,238","16,833","18,937","20,717","22,517","24,575","26,522","29,892","31,502","36,149","35,259","36,682","37,532","38,534","38,821","40,437","44,022","50,042","51,677","60,467","92,013","118,195","127,766","132,383","140,351","144,510","154,865","158,008","153,056","151,782","156,534","157,617","159,255","162,193","161,695","163,016","162,186","164,652","163,552","157,900","160,295"
206,210,208,210,278,314,329,297,310,290,325,278,304,349,411,438,318,276,264,272,342,409,487,485,476,562,469,549,583,560,554,602,567,570,533,553,638,653,692,661,701,659,651,640,488,491,590,581,519,548,657,748,824,908,957,928,"1,126","1,199","1,261","1,491","1,623","1,745","1,837","1,944","2,368","2,474","2,607","2,687","2,871","3,028","3,447","3,976","4,280","4,794","5,164","5,541","5,254","5,475","5,681","5,915","6,275","6,340","6,421","6,426","6,524","6,795","6,877","6,960","7,071"
346,343,332,399,412,455,440,431,364,384,386,326,332,381,379,343,322,256,230,214,228,255,229,218,284,259,260,303,280,278,285,254,248,295,315,269,319,316,289,290,263,233,220,226,170,162,212,139,188,242,244,279,279,351,311,342,395,435,378,378,443,439,505,553,626,681,733,865,893,981,"1,048",801,828,959,"1,178","1,313","1,313","1,321","1,401","1,451","1,542","1,634","1,618","1,618","1,724","1,649","1,598","1,516","1,575"
"1,920","1,979","2,138","2,453","2,664","2,896","2,991","3,312","3,323","3,451","3,794","4,074","4,248","4,412","4,369","4,144","4,038","4,142","3,841","3,870","3,853","3,937","3,992","3,984","4,242","4,439","4,540","4,608","4,587","4,938","4,869","4,869","5,135","5,719","5,909","5,775","5,734","5,308","5,103","4,873","4,553","4,220","4,033","4,126","4,407","4,648","4,981","4,946","5,100","5,032","5,497","6,030","7,143","7,882","8,200","8,581","9,013","9,715","9,855","10,665","11,717","12,545","12,931","13,928","16,273","17,418","19,660","20,989","22,635","26,792","27,260","27,062","27,524","28,672","29,088","29,643","31,662","34,973","35,067","35,564","35,344","36,688","37,984","38,216","38,059","37,410","38,130","37,044","36,982"
"1,504","1,552","1,484","1,621","1,741","1,765","1,911","1,801","1,811","1,812","2,012","1,986","2,166","2,299","2,292","2,312","2,256",1771,"1,778","2,033","2,002","1,951","2,044","1,944","2,053","2,290","2,151","2,224","2,331","2,438","2,443","2,468","2,422","2,623",2876,"2,455","2,401","2,341","2,539","2,960","3,202","3,098","2,738","2,599","2,765","2,864","2,782","2,608","2,632","2,989","3,369","3,771","4,272","4,487","4,342","4,399","5,336","6,264","6,658","6,821","6,919","6,603","6,131","5,816","6,928","7,995","9,156","9,959","10,419","10,833","11,608","12,527","13,214","14,161","14,558","14,666","15,020","15,922","16,036","16,503","17,320","17,483","17,757","17,926","18,199","18,212","17,808","17,254","17,947"
"1,768","1,799","1,762","1,931","2,174","2,344","2,571","2,642","2,338","2,198","2,294","2,322","2,396","2,507","2,643",2691,"2,689","2,736","2,431","2,208","2,044","2,178",2309,"2,484","2,776","2,904","2,974","2,697","2,316","2,220","2,269","2,101","2,191","2,406","2,492","2,407","2,207","2,031","1,912","1,722","1,477","1,189","1,208","1,124","1,001",938,"1,063","1,058","1,086",989,"1,271","1,278","1,250","1,237","1,251","1,257","1,565","1,547","1,611","1,579","1,725","1,472","1,449","1,455","1,536","1,565","1,502","1,674","1,805","2,332","2,483","2,725","3,148","3,478","3,532","3,795","4,164","4,504","4,715","5,026","5,292","5,719","6,049","6,019","6,313","6,642","6,803","7,027","6,812"
"1,356","1,494","1,595","1,617","1,933","2,381","2,584","2,696","2,402","2,302","2,331","2,819","2,791",2775,"2,332","2,330","2,139","1,929",1706,1415,"1,439","1,588","1,705","1,915","1,991","2,017","1,880",1932,"2,216","2,210","2,281","2,336","2,282","2,617","2,640","2,784","2,953","2,887","2,811","2,844","2,830","2,709","2,607","2,172","2,768","2,973","2,493","2,036","2,147","2,587","2,992","3,299","3,347","3,432","3,677","3,980","4,385","4,714","4,845","4,974","5,395","5,717","6,126","6,325","6,775","7,438","7,775","7,992","8,422","9,521","10,337","12,340","15,698","17,951","20,052","20,336","21,033","21,644","22,065","22,189","21,927","22,618","22,307","22,443","22,332","21,973","21,998","20,474","21,285"
282,264,301,318,357,338,352,312,311,313,322,363,364,351,387,363,337,274,276,265,278,323,366,356,411,410,368,299,268,326,287,326,272,384,387,338,329,328,327,339,336,279,254,257,246,231,263,262,278,269,307,340,400,433,504,534,556,702,721,724,762,861,916,945,"1,026","1,110","1,099","1,063","1,128","1,217","1,395","1,478","1,549","1,571","1,710","1,680","1,684","1,737","1,872","1,980","2,047","2,114","2,084","2,084","2,075","2,112","2,183","2,204","2,310"
